xi,xi_z,(8/f)^0.5
1.647,6.640,6.210
1.765,7.190,6.560
1.020,4.170,3.690
1.490,6.100,5.830
1.333,5.490,5.460
1.176,4.870,4.890
1.236,4.490,4.930
1.081,3.970,4.200
1.467,5.450,6.000
1.390,5.160,5.370
1.660,6.180,6.760
1.506,5.610,6.850
0.888,3.340,3.100
1.094,4.790,3.950
0.943,4.160,3.150
1.283,5.680,6.170
1.245,5.540,5.310
1.208,5.400,4.360
1.208,4.630,4.740
1.509,5.800,5.900
1.434,5.550,5.420
0.524,2.840,2.070
1.218,4.650,3.620
0.893,4.880,5.300
1.120,4.020,4.410
1.283,4.990,5.320
0.796,4.360,3.380
1.550,5.940,6.180
1.094,4.280,4.190
1.483,5.240,5.030
0.710,4.510,4.180
1.583,5.730,6.340
0.943,3.720,3.090
1.027,3.640,3.670
0.558,2.790,2.420
0.818,4.130,4.230
0.837,2.980,2.980
1.429,5.190,5.370
0.680,3.750,2.800
0.835,4.620,4.830
0.835,4.620,3.850
0.959,3.720,2.890
1.521,5.440,5.550
0.892,4.520,5.280
1.351,4.950,6.870
1.365,5.330,5.240
1.292,5.040,4.620
0.633,4.070,3.510
0.892,4.550,4.450
0.965,3.540,3.330
0.706,3.610,3.110
0.743,3.790,3.740
1.365,5.330,6.360
1.217,4.370,3.970
1.331,4.780,4.680
0.929,4.740,5.790
0.787,5.090,5.350
1.236,4.570,5.080
0.441,2.870,3.130
0.749,4.870,4.930
0.767,3.970,3.310
0.813,4.230,4.010
0.609,3.160,2.310
0.948,4.990,4.890
0.858,4.520,4.890
1.038,5.460,5.140
0.618,3.060,2.370
0.916,4.570,4.250
0.976,4.880,5.460
0.956,4.790,4.830
0.800,5.020,5.460
0.757,3.800,3.140
0.733,4.590,4.880
0.837,4.210,3.780
0.689,4.360,4.000
0.533,3.390,2.900
1.102,3.870,3.520
1.260,4.420,4.200
0.598,3.870,2.530
0.866,5.630,4.940
0.784,5.110,4.680
0.977,5.110,3.690
0.722,4.710,4.170
1.074,5.640,4.550
0.660,4.340,3.470
0.742,3.900,2.380
0.664,3.510,1.530
0.945,3.360,2.380
0.898,4.740,3.430
0.840,4.430,2.890
1.035,5.500,3.890
1.074,5.690,4.990
1.417,5.060,5.190
1.299,4.660,4.840
0.483,3.550,2.970
0.618,4.550,4.230
