,xi,xi_z,(8/f)^0.5,f
0,1.647,6.64,6.21,0.2074468223036451
1,1.765,7.19,6.56,0.18590124925639503
2,1.02,4.17,3.69,0.5875397507362607
3,1.49,6.1,5.83,0.2353709593426089
4,1.333,5.49,5.46,0.26835191670356506
5,1.176,4.87,4.89,0.334558654405092
6,1.236,4.49,4.93,0.3291517348353625
7,1.081,3.97,4.2,0.4535147392290249
8,1.467,5.45,6.0,0.2222222222222222
9,1.39,5.16,5.37,0.2774223304169311
10,1.66,6.18,6.76,0.17506389832288788
11,1.506,5.61,6.85,0.170493899515158
12,0.888,3.34,3.1,0.8324661810613943
13,1.094,4.79,3.95,0.5127383432142285
14,0.943,4.16,3.15,0.8062484252960443
15,1.283,5.68,6.17,0.21014528919932018
16,1.245,5.54,5.31,0.28372718212802484
17,1.208,5.4,4.36,0.42083999663328
18,1.208,4.63,4.74,0.35606829389876976
19,1.509,5.8,5.9,0.22981901752370007
20,1.434,5.55,5.42,0.2723274465216977
21,0.524,2.84,2.07,1.867021400732806
22,1.218,4.65,3.62,0.6104819755196728
23,0.893,4.88,5.3,0.2847988608045568
24,1.12,4.02,4.41,0.411351237395941
25,1.283,4.99,5.32,0.2826615410707219
26,0.796,4.36,3.38,0.7002555932915515
27,1.55,5.94,6.18,0.20946575758527874
28,1.094,4.28,4.19,0.4556820706193288
29,1.483,5.24,5.03,0.3161942855787738
30,0.71,4.51,4.18,0.4578649756186901
31,1.583,5.73,6.34,0.19902675914776743
32,0.943,3.72,3.09,0.837863030341115
33,1.027,3.64,3.67,0.5939609025235913
34,0.558,2.79,2.42,1.3660269107301415
35,0.818,4.13,4.23,0.44710471751365055
36,0.837,2.98,2.98,0.9008603216071348
37,1.429,5.19,5.37,0.2774223304169311
38,0.68,3.75,2.8,1.0204081632653064
39,0.835,4.62,4.83,0.34292229809378066
40,0.835,4.62,3.85,0.5397200202395007
41,0.959,3.72,2.89,0.95784293770429
42,1.521,5.44,5.55,0.25971917863809757
43,0.892,4.52,5.28,0.2869605142332415
44,1.351,4.95,6.87,0.169502658013556
45,1.365,5.33,5.24,0.29135831245265426
46,1.292,5.04,4.62,0.3748055696107644
47,0.633,4.07,3.51,0.6493453786901081
48,0.892,4.55,4.45,0.4039893952783739
49,0.965,3.54,3.33,0.7214421628836043
50,0.706,3.61,3.11,0.8271213076787876
51,0.743,3.79,3.74,0.5719351425548342
52,1.365,5.33,6.36,0.19777698666983107
53,1.217,4.37,3.97,0.5075852267319759
54,1.331,4.78,4.68,0.3652567755131858
55,0.929,4.74,5.79,0.23863429592442453
56,0.787,5.09,5.35,0.2795003930474278
57,1.236,4.57,5.08,0.31000062000124
58,0.441,2.87,3.13,0.8165848380610193
59,0.749,4.87,4.93,0.3291517348353625
60,0.767,3.97,3.31,0.7301868365568039
61,0.813,4.23,4.01,0.49750934384736417
62,0.609,3.16,2.31,1.4992222784430576
63,0.948,4.99,4.89,0.334558654405092
64,0.858,4.52,4.89,0.334558654405092
65,1.038,5.46,5.14,0.3028054928916411
66,0.618,3.06,2.37,1.424273175595079
67,0.916,4.57,4.25,0.4429065743944637
68,0.976,4.88,5.46,0.26835191670356506
69,0.956,4.79,4.83,0.34292229809378066
70,0.8,5.02,5.46,0.26835191670356506
71,0.757,3.8,3.14,0.8113919428780072
72,0.733,4.59,4.88,0.33593120128997583
73,0.837,4.21,3.78,0.5598947397889197
74,0.689,4.36,4.0,0.5
75,0.533,3.39,2.9,0.9512485136741974
76,1.102,3.87,3.52,0.6456611570247934
77,1.26,4.42,4.2,0.4535147392290249
78,0.598,3.87,2.53,1.2498242434657627
79,0.866,5.63,4.94,0.327820485502139
80,0.784,5.11,4.68,0.3652567755131858
81,0.977,5.11,3.69,0.5875397507362607
82,0.722,4.71,4.17,0.4600636037932244
83,1.074,5.64,4.55,0.38642676005313376
84,0.66,4.34,3.47,0.6644021626290393
85,0.742,3.9,2.38,1.412329637737448
86,0.664,3.51,1.53,3.4174889999572815
87,0.945,3.36,2.38,1.412329637737448
88,0.898,4.74,3.43,0.6799887801851269
89,0.84,4.43,2.89,0.95784293770429
90,1.035,5.5,3.89,0.5286774472809458
91,1.074,5.69,4.99,0.3212838502656616
92,1.417,5.06,5.19,0.2969991943896852
93,1.299,4.66,4.84,0.34150672768253537
94,0.483,3.55,2.97,0.9069369338729606
95,0.618,4.55,4.23,0.44710471751365055
96,0.695,5.14,5.23,0.2924735585623462
97,0.579,4.28,3.37,0.7044175787406773
98,0.637,4.72,4.83,0.34292229809378066
99,0.923,4.28,4.64,0.3715814506539834
100,1.077,4.91,5.63,0.2523906123311743
101,1.038,4.76,5.01,0.31872382978553876
102,0.734,3.43,3.16,0.8011536612722319
103,0.829,3.87,3.57,0.6277020612166435
104,0.96,4.51,5.17,0.29930150511244386
105,0.64,3.03,2.66,1.1306461642828876
106,0.904,4.26,3.88,0.5314061005420343
107,0.885,4.14,2.39,1.400535704907127
108,0.885,4.12,4.38,0.41700548362210965
109,21.149,124.405,11.999,0.05556481597235083
110,21.298,125.285,12.1,0.054641076429205654
111,20.47,136.468,12.692,0.049662646607857484
112,21.839,136.492,13.179,0.04606012062880747
113,0.643,1.894,1.179,5.755225924990701
114,0.87,2.566,1.495,3.5793783067303493
115,1.018,2.999,2.366,1.4290930475337782
116,1.109,3.27,3.118,0.8228823841865047
117,1.077,2.205,1.261,5.031063673770739
118,1.362,2.787,1.774,2.5420422004425696
119,1.64,3.357,2.684,1.1105163679007464
120,1.918,3.924,3.186,0.7881310614667355
121,0.805,2.202,2.079,1.8508917017815523
122,1.108,3.029,2.577,1.2046507348595354
123,1.434,3.923,3.498,0.6538082203961358
124,1.651,4.515,4.249,0.443115074603131
125,0.673,2.0,1.64,2.9744199881023206
126,0.739,2.195,2.854,0.9821595626247034
127,0.941,2.795,3.972,0.5070741920533361
128,1.13,3.358,4.523,0.39105407109529217
129,7.225,40.942,9.409,0.09036558198185297
130,8.164,37.193,10.84,0.06808186163042443
131,5.958,32.262,11.044,0.06558993357182707
132,6.683,29.125,9.547,0.08777202979478603
133,6.715,30.094,9.216,0.09419005594135804
134,7.344,30.234,10.609,0.07107896383325511
135,7.349,30.921,10.583,0.07142864221945791
136,5.98,32.58,9.958,0.08067625743325824
137,3.734,16.595,6.396,0.1955568696977199
138,4.287,16.602,6.678,0.1793895570701416
139,3.811,14.713,10.302,0.07537839672486897
140,1.678,3.894,4.243,0.44436917324393205
141,1.64,4.058,4.309,0.43086081520697395
142,2.411,4.813,4.351,0.4225828039119124
143,2.379,4.707,4.642,0.3712613288074102
144,1.87,3.695,5.099,0.30769466273991863
145,1.922,4.025,5.116,0.3056531777843935
146,1.917,4.195,5.24,0.29135831245265426
147,1.566,3.781,5.313,0.28340685792874437
148,2.174,4.709,5.42,0.2723274465216977
149,2.148,5.138,5.794,0.2383049180534921
150,1.876,4.635,6.193,0.2085872829183259
151,1.854,4.24,6.269,0.2035604711111941
152,1.333,3.687,6.432,0.19337392638796067
153,1.44,4.525,6.777,0.1741867097325888
154,1.912,4.669,7.115,0.15803023217110326
155,12.987,18.013,9.44,0.08977305372019535
156,16.943,23.501,9.844,0.08255564539444346
157,20.494,28.426,9.725,0.08458839156495133
158,22.55,31.279,10.156,0.0775612148009756
159,27.889,38.683,10.637,0.07070525102887408
160,30.428,42.206,10.906,0.0672603310102848
161,33.659,46.687,10.956,0.06664781866354863
162,13.165,17.366,9.214,0.0942309503535286
163,16.967,22.381,9.453,0.08952630724383427
164,20.439,26.961,10.116,0.07817580205636757
165,22.705,29.949,10.229,0.07645812258169529
166,27.838,36.721,11.256,0.06314250657566063
167,30.343,40.026,10.991,0.06622402473348121
168,33.576,44.291,11.183,0.06396955612060753
169,13.148,16.204,8.697,0.10576720962395937
170,16.994,20.943,9.019,0.09834973931971314
171,20.539,25.312,9.182,0.09488889956916169
172,22.697,27.971,9.607,0.08667910244526192
173,27.877,34.355,10.38,0.0742497985974213
174,30.538,37.635,10.401,0.07395027515094846
175,33.57,41.371,10.995,0.06617584866906927
176,4.0,20.0,7.712,0.13451042509598665
177,4.64,23.2,8.43,0.1125731549611693
178,5.36,26.8,8.698,0.10574289113013295
179,6.56,32.8,9.398,0.09057724470452594
180,7.92,39.6,9.789,0.08348593780082658
181,9.28,46.4,10.196,0.07695384662267267
182,10.56,52.8,10.549,0.07188982101330663
183,12.0,60.0,10.955,0.06665998678049137
184,13.28,66.4,11.246,0.06325484977305267
185,14.64,73.2,11.442,0.06110631579297925
186,15.92,79.6,11.708,0.058361246544868295
187,18.64,93.2,12.124,0.05442496163856579
188,21.28,106.4,12.483,0.05133954861460259
189,3.36,16.8,7.244,0.15245199210542604
190,4.0,20.0,7.647,0.13680683844030694
191,4.64,23.2,8.273,0.11688638799422506
192,5.36,26.8,8.607,0.10799070615784201
193,6.64,33.2,9.25,0.09349890430971512
194,8.0,40.0,9.735,0.08441469881494955
195,9.36,46.8,10.151,0.07763764108081651
196,10.64,53.2,10.532,0.07212208711511507
197,11.92,59.6,10.864,0.06778139037525946
198,13.2,66.0,11.209,0.06367313726087444
199,14.64,73.2,11.414,0.06140648671720892
200,15.92,79.6,11.726,0.058182209166263765
201,18.56,92.8,12.11,0.05455087243892178
