Number,W,D,S,Q,U,xi,U/u,H,H/W,F,R,R*,,,f,(8/f)^0.5
1.00,0.10,0.00,0.01,0.00,0.28,4.28,9.04,0.01,0.11,0.90,2.47,71.00,0.03,0.00,0.0978933354217245,9.04
2.00,,,,0.00,0.31,5.14,9.04,0.01,0.13,0.90,3.18,78.00,0.03,0.00,0.0978933354217245,9.04
3.00,,,,0.00,0.34,5.84,9.23,0.01,0.15,0.92,3.85,83.00,0.04,0.00,0.0939045389932729,9.23
4.00,,,,0.00,0.37,6.22,9.90,0.02,0.16,0.99,4.53,86.00,0.04,0.00,0.0816243240485665,9.9
5.00,,,,0.00,0.39,6.78,10.05,0.02,0.18,1.01,5.16,90.00,0.04,0.00,0.0792059602485087,10.05
6.00,,,,0.00,0.41,7.31,10.14,0.02,0.19,1.01,5.76,93.00,0.05,0.00,0.0778061770323946,10.14
7.00,,,,0.00,0.43,7.74,10.36,0.02,0.21,1.04,6.36,96.00,0.05,0.00,0.0745367540734336,10.36
8.00,,,,0.00,0.45,8.11,10.61,0.02,0.22,1.06,6.94,98.00,0.05,0.00,0.0710655659794923,10.61
9.00,,,,0.00,0.47,8.59,10.63,0.02,0.24,1.06,7.48,101.00,0.05,0.00,0.0707984024340491,10.63
10.00,,,,0.00,0.48,9.07,10.61,0.03,0.25,1.06,8.00,104.00,0.06,0.00,0.0710655659794923,10.61
11.00,,,,0.00,0.50,9.44,10.72,0.03,0.26,1.07,8.52,106.00,0.06,0.00,0.0696146134996658,10.72
12.00,,,0.02,0.00,0.38,4.33,8.49,0.01,0.11,1.20,3.30,102.00,0.05,0.00,0.110987637364543,8.49
13.00,,,,0.00,0.41,4.87,8.79,0.01,0.12,1.24,4.02,108.00,0.06,0.00,0.103540971809676,8.79
14.00,,,,0.00,0.44,5.50,8.73,0.01,0.14,1.23,4.70,115.00,0.07,0.00,0.104969106279908,8.73
15.00,,,,0.00,0.47,6.72,8.54,0.02,0.18,1.13,5.90,130.00,0.09,0.00,0.10969182082938,8.54
40.00,0.25,0.00,0.01,0.00,0.42,7.83,9.99,0.02,0.08,1.00,6.94,97.00,0.05,0.00,0.0801602403204005,9.99
41.00,,,,0.00,0.48,10.15,10.03,0.03,0.10,1.00,10.00,110.00,0.06,0.00,0.0795221513922838,10.03
42.00,,,,0.00,0.50,9.70,10.69,0.02,0.10,1.07,10.07,108.00,0.06,0.00,0.0700058892454328,10.69
43.00,,,,0.01,0.59,13.44,10.72,0.03,0.14,1.07,15.73,127.00,0.08,0.00,0.0696146134996658,10.72
44.00,,,,0.01,0.58,13.70,10.43,0.03,0.14,1.04,15.68,128.00,0.09,0.00,0.0735396180903784,10.43
45.00,,,,0.01,0.76,20.00,11.31,0.05,0.21,1.13,28.15,155.00,0.13,0.00,0.0625409936669426,11.31
