x, y
2.653247251014817731e+00,4.342093696161034022e-01
5.543646423061718842e+00,1.835250142721999989e-01
5.522140936902559361e+00,1.814437343406049008e-01
7.365888202065788981e+00,1.194918680350846862e-01
7.910601122640463778e+00,1.448603399435460792e-01
7.408638044819364055e+00,1.208723908257319374e-01
1.996211611647390916e+00,5.368220773037764015e-01
2.554932186416878359e+00,2.969950209964909993e-01
2.718748255704447558e+00,3.557785413426191035e-01
2.423722049716154459e+00,2.543447669481935791e-01
3.089319156850997672e+00,2.395323223157055370e-01
2.936850204375148543e+00,2.077545494455889097e-01
3.415516991553637638e+00,1.877978109794792572e-01
3.350331896592980030e+00,1.773869931884498596e-01
3.762745229804238534e+00,1.637786456166420157e-01
1.434153723313626116e+00,3.326276939051011072e-01
1.743211590144565726e+00,2.715411853398744246e-01
2.369008075312220019e+00,3.862892708517292051e-01
2.860554776137079092e+00,3.105188062726921827e-01
2.401839772048197208e+00,1.856426623438398038e-01
2.511211891855305467e+00,2.129178304326135862e-01
1.112565098902070337e+00,4.246773843598614095e-01
1.334529217881772478e+00,3.675281657245057509e-01
1.721175803258801373e+00,4.757770489050565099e-01
1.765239849691951690e+00,3.862889787208505510e-01
1.655035535222411092e+00,3.212846494581200751e-01
1.434153303025925474e+00,5.793387560474565490e-01
1.068066080297489284e+00,2.427084899999289447e-01
1.511537931831483883e+00,4.802629702692906566e-01
1.334529217881772478e+00,4.228091315856988830e-01
3.023994491108112026e+00,2.238464197965031599e-01
2.904157336398568212e+00,2.009591487789080255e-01
4.174211325056272237e+00,1.603026592415636442e-01
4.066016881968314678e+00,1.493623355766064420e-01
4.951573523121746589e+00,1.284567486300831896e-01
5.758612910510264804e+00,1.197658993008287875e-01
1.721177172348821616e+00,3.140456301273156781e-01
1.864302168594480946e+00,3.962191058684378930e-01
2.105999169879935184e+00,2.169190885260166846e-01
2.073076125882304943e+00,2.058668093548170486e-01
2.434662968949960149e+00,1.773867919653809855e-01
2.740575885528409916e+00,1.577686712395060253e-01
3.230756944950302856e+00,1.739489762548611929e-01
1.201453277742699388e+00,3.814645829007781708e-01
2.128000932073052187e+00,3.572152405836491185e-01
2.128000932073052187e+00,3.572152405836491185e-01
1.223653481583287572e+00,9.680963759040058791e-01
1.012388312795956979e+00,5.560518015061378660e-01
1.079195041181381098e+00,3.879175254418965602e-01
1.434154203642576730e+00,4.100737394137919378e-01
1.101444626166725449e+00,3.391933251843207153e-01
1.212554552691096577e+00,3.200605895800778256e-01
5.962673289242910180e+00,1.024330498115471194e-01
7.686408941090052238e+00,7.733866159498441195e-02
9.465824543337010510e+00,7.431915749607258259e-02
1.185237185124984904e+01,6.271883986518730913e-02
5.005459167609786597e+00,1.162744554069957276e-01
6.198772600941230948e+00,1.020011277563888513e-01
7.291061768001441123e+00,9.662854868046301393e-02
8.156000963129255155e+00,8.881401778357109200e-02
