xi,f,Manning,Recking,Keulegan,Ferguson
5.999999999999999778e-01,1.325549385198504515e+00,1.743751594712618647e-01,3.496914494286977426e+00,1.114736718056805964e+00,2.658514039827013509e+00
6.660320103448510443e-01,1.083876180005927337e+00,1.684108238729004059e-01,2.544187560064013809e+00,9.260028893227232327e-01,2.186777783772565709e+00
7.393310646733395330e-01,8.862625857677153274e-01,1.626504926707943721e-01,1.933735371779121692e+00,7.814372148878416802e-01,1.802951357222878137e+00
8.206969255246391315e-01,7.286412322282824761e-01,1.570871880896316797e-01,1.519272978949825159e+00,6.682606377105666517e-01,1.490501242257823877e+00
9.110173719850230833e-01,6.045206958573587919e-01,1.517141710222327800e-01,1.225069915947475607e+00,5.780024159695399399e-01,1.236008617385231600e+00
1.011277886203779897e+00,5.071455608647177371e-01,1.465249328661355765e-01,1.000158624260648610e+00,5.048677568451271913e-01,1.028582414136075540e+00
1.122572405942658502e+00,4.305638099925012119e-01,1.415131876394019328e-01,7.807411441264132668e-01,4.447839604964188842e-01,8.593829851150038834e-01
1.246115260479408349e+00,3.699490050163205535e-01,1.366728643660953812e-01,6.263389999414835652e-01,3.948208982651265631e-01,7.212355382043971197e-01
1.383254420097496773e+00,3.215549317335816282e-01,1.319980997222065522e-01,5.135903433595239154e-01,3.528268830551651858e-01,6.083164200321121706e-01
1.535486203726561527e+00,2.825372472555557346e-01,1.274832309331175306e-01,4.287563249320715530e-01,3.171930710408397136e-01,5.158985198939001204e-01
1.704471605207975360e+00,2.507559741466667824e-01,1.231227889140016074e-01,3.633285919109374706e-01,2.866970424872417600e-01,4.401446525907625196e-01
1.892054416320638532e+00,2.246030154962422309e-01,1.189114916448492931e-01,3.118097054841676430e-01,2.603965481515105873e-01,3.779398783254855898e-01
2.100281344306481834e+00,2.028656651048086068e-01,1.148442377720950008e-01,2.705194832498122870e-01,2.375558424362136101e-01,3.267554217894732549e-01
2.331424343397053622e+00,1.846235662238749631e-01,1.109161004290941249e-01,2.369190504491815175e-01,2.175936625969727700e-01,2.845382354320666884e-01
2.588005403999440013e+00,1.691727900472552171e-01,1.071223212679647679e-01,2.092110226848206966e-01,2.000458787293722396e-01,2.496213741577780476e-01
2.872824070015142173e+00,1.559703293442663841e-01,1.034583046955645375e-01,1.860940417297568261e-01,1.845382697432380592e-01,2.206512594552530460e-01
3.188987984532103859e+00,1.445936358063754923e-01,9.991961230662035898e-02,1.666071361878101176e-01,1.707664052095285712e-01,1.965286500827136684e-01
3.539946797172486281e+00,1.347110608569443979e-01,9.650195750726767163e-02,1.500282143118006339e-01,1.584805897953610876e-01,1.763607362641278486e-01
3.929529803057679516e+00,1.260600630441394698e-01,9.320120032248629949e-02,1.358061941607218714e-01,1.474744649922698214e-01,1.594222611386858501e-01
4.361987724067521555e+00,1.184311880745441692e-01,9.001334238114325204e-02,1.235146098490059879e-01,1.375762869356532969e-01,1.451239682565435563e-01
4.842039088267087621e+00,1.116560627318992083e-01,8.693452207256695263e-02,1.128192644198515865e-01,1.286421856277001063e-01,1.329869945147622301e-01
5.374921713544797974e+00,1.055984063035512871e-01,8.396100986878654582e-02,1.034552710642057116e-01,1.205509073599480979e-01,1.226220881093390003e-01
5.966449857197389406e+00,1.001472043916265126e-01,8.108920380676935824e-02,9.521049294083036574e-02,1.131996787536368593e-01,1.137127422284704981e-01
6.623077655018210663e+00,9.521169134638007847e-02,7.831562512518421004e-02,8.791342182806441419e-02,1.065009270632604893e-01,1.060015065692215958e-01
7.351969542069736185e+00,9.071694312232221613e-02,7.563691405040495752e-02,8.142418613559739005e-02,1.003796599808378931e-01,9.927887782364230862e-02
8.161078423498031142e+00,8.660120195084421157e-02,7.304982572664985019e-02,7.562779789161540311e-02,9.477135762120210416e-02,9.337428313691058246e-02
9.059232448307305674e+00,8.281320174807248191e-02,7.055122628532653484e-02,7.042902351052086896e-02,8.962026538265877029e-02,8.814876212820213497e-02
1.005623133287903315e+01,7.931024398522008856e-02,6.813808904882136253e-02,6.574844697933890370e-02,8.487800286835908703e-02,8.348902739284318197e-02
1.116295328521717423e+01,7.605694389690320634e-02,6.580749086413448246e-02,6.151941886354841960e-02,8.050242372011905123e-02,7.930264372468454059e-02
1.239147369656475384e+01,7.302328301582114434e-02,6.355660856191935881e-02,5.768567045269973326e-02,7.645667594350798180e-02,7.551411525033285832e-02
1.375519689543061297e+01,7.018432873700958252e-02,6.138271553663753738e-02,5.419943234269126303e-02,7.270842342188990615e-02,7.206170939418425625e-02
1.526900240158817113e+01,6.751899329430451069e-02,5.928317844368594797e-02,5.101993914860716850e-02,6.922919777688557597e-02,6.889487883370924715e-02
1.694940727581688478e+01,6.500936349465540054e-02,5.725545400949573482e-02,4.811223236571079975e-02,6.599385621656468637e-02,6.597216876905928618e-02
1.881474633677661146e+01,6.263993540122937687e-02,5.529708595073869887e-02,4.544619532351666658e-02,6.298012601664312871e-02,6.325951806483980089e-02
2.088537221135290878e+01,6.039962897751203347e-02,5.340570199890926767e-02,4.299577019713991116e-02,6.016822016728599204e-02,6.072888005407008766e-02
2.318387740121311325e+01,5.827518077964488619e-02,5.157901102667777904e-02,4.073831885634823791e-02,5.754051175690772651e-02,5.835710277904295612e-02
2.573534078853087692e+01,5.625772337160774017e-02,4.981480027253425841e-02,3.879252225226229034e-02,5.508125705399953553e-02,5.612501979301957877e-02
2.856760127049178166e+01,5.433874018121503252e-02,4.811093266036035182e-02,3.742135793179956343e-02,5.277635913784222560e-02,5.401671185711013484e-02
3.171156150819292208e+01,5.251035449558526247e-02,4.646534421068298365e-02,3.612162729820587309e-02,5.061316543161881176e-02,5.201890734137291222e-02
3.520152510412689395e+01,5.076459633079855732e-02,4.487604154047341448e-02,3.488845318326933009e-02,4.858029369241732842e-02,5.012049520521594248e-02
3.907557088717728533e+01,4.910601908372091984e-02,4.334109944846342710e-02,3.371736766235448879e-02,4.666748197722504071e-02,4.831212935507654682e-02
4.337596838893237816e+01,4.751676564654300217e-02,4.185865858305336945e-02,3.260427152786021104e-02,4.486545888243997915e-02,4.658590717251235441e-02
4.814963904455891708e+01,4.599664171959269576e-02,4.042692318998718920e-02,3.154539836869013625e-02,4.316583098544689995e-02,4.493510824810481585e-02
5.344866815037750030e+01,4.454066995408216545e-02,3.904415893706616320e-02,3.104327249062006910e-02,4.156098493055366411e-02,4.335398198783421697e-02
5.933087316408457212e+01,4.314308948562681212e-02,3.770869081326607558e-02,3.104327249062006910e-02,4.004400202159716371e-02,4.183757489398373663e-02
6.586043454831772692e+01,4.179648353545719480e-02,3.641890109971322731e-02,3.104327249062006910e-02,3.860858352828071965e-02,4.038159005561576392e-02
7.310859604066919815e+01,4.049093737509437685e-02,3.517322741006122938e-02,3.104327249062006910e-02,3.724898519736875163e-02,3.898227279007233925e-02
8.115444199076085852e+01,3.930727058025131060e-02,3.397016079789468013e-02,3.104327249062006910e-02,3.595995969478889970e-02,3.763631751832792471e-02
9.008576024586848519e+01,3.812646740490149150e-02,3.280824392886760171e-02,3.104327249062006910e-02,3.473670589966788153e-02,3.634079188331504340e-02
1.000000000000000000e+02,3.698829548858330318e-02,3.168606931536183113e-02,3.104327249062006910e-02,3.357482413370175417e-02,3.509307487208172122e-02
